Carimbo de data/hora,Avalie os estilos musicais [rock],Avalie os estilos musicais [hip hop],Avalie os estilos musicais [mpb],Avalie os estilos musicais [reggae],Avalie os estilos musicais [funk],Avalie os estilos musicais [sertanejo],Avalie os estilos musicais [gospel],Avalie os estilos musicais [eletrônica]
21/08/2024 10:03:25,3,1,1,1,1,1,1,3
21/08/2024 10:04:39,5,3,5,2,1,3,1,5
21/08/2024 10:04:52,1,5,1,1,1,1,1,5
21/08/2024 10:04:53,1,5,4,4,4,1,1,5
21/08/2024 10:04:55,5,4,3,4,1,1,2,5
21/08/2024 10:05:26,5,2,2,2,1,1,2,4
21/08/2024 10:05:41,2,4,4,1,4,4,1,3
21/08/2024 10:06:14,5,3,3,3,1,2,3,4
21/08/2024 10:07:16,4,4,4,1,4,4,1,4
21/08/2024 10:07:26,5,5,1,3,4,1,1,3
21/08/2024 10:07:31,3,2,5,4,3,4,4,2
21/08/2024 10:08:37,4,1,5,1,1,2,5,1
21/08/2024 10:38:46,5,1,3,1,1,1,1,4
21/08/2024 10:58:52,5,5,1,1,1,1,1,4
21/08/2024 14:58:43,5,4,4,3,3,3,2,5
21/08/2024 14:59:12,4,5,3,4,1,2,4,5
21/08/2024 14:59:39,5,4,1,2,4,1,1,4
21/08/2024 14:59:58,1,2,3,1,2,3,4,4
21/08/2024 15:00:08,4,2,4,3,1,2,3,3
21/08/2024 15:00:16,1,5,4,4,5,3,3,5
21/08/2024 15:00:27,3,5,1,1,1,1,1,1
21/08/2024 15:00:38,4,1,4,1,1,3,5,1
21/08/2024 15:01:03,4,1,4,1,1,2,1,1
21/08/2024 15:01:09,3,3,4,3,2,3,2,3
21/08/2024 15:01:36,3,3,4,3,1,1,5,5
21/08/2024 15:01:55,5,4,5,1,1,3,2,1
21/08/2024 15:02:10,3,3,4,3,1,1,5,5
21/08/2024 15:02:13,5,5,4,5,2,2,4,5
21/08/2024 15:02:16,5,4,5,2,1,3,4,4
21/08/2024 15:02:18,2,1,3,1,2,5,3,1
21/08/2024 15:03:08,5,5,5,5,5,5,5,5
21/08/2024 15:03:40,5,5,5,5,5,5,5,5
21/08/2024 15:05:02,4,1,4,1,1,3,5,1
21/08/2024 15:05:13,3,1,4,2,1,4,4,1
21/08/2024 15:06:35,5,5,2,5,1,3,4,1
21/08/2024 15:06:40,3,1,5,1,2,5,1,2
21/08/2024 15:09:30,1,4,3,2,1,3,2,2
